review_text,review_rating
"Senang bgt krn buku cetak (Fisika Kls.X Erlangga) yg sy cari buat anakku dpt disini, pdhl sdh sejaman keliling2 cari di toko buku lain.
Ngga' nyangka dptnya disini krn setahuku Toko Agung jualan buku cetaknya cuma dikit, kbnyakan buku tulis.
Minusnya, tukang parkirnya ngga' pk' APD pdhl covid-19 belum surut.
Sy ksih masker 2 lmbr, pas sy liat dia psg masker...ternyata yg dia pk' bkn masker pemberian sy🙄, mlainkn masker lama yg dia ambil dr saku celananya.
Tp pegawai2nya luput dr perhatianku...pk' APD apa tdk.",5
"Bersih, semua kebutuhan alat tulis ktr, barang elektronik, dll tersedia",5
"Ini adalah salah satu toko perbelanjaan faforit saya semasa SMA hinga kini di karnakan penyediaan barangnya yg lengkap untuk anak sekolah dan pekerja kantor ,,dan tdk kala menariknya tempatnya yg strategis dan di lengkapi pendingin ruangan yakni puluan kipas angin yg akan menemani perbelajaan anda dengan fres nyaman dan aman, dan playanan nya pun rama.😀😊",5
"Lokasi strategis, barang lengkap dan murah, layanan oke dan parkiran luas",5
"Barang kebutuhan alat tulis sekolah dan kantor, aneka produk plastik dan lain lain cukup lengkap tersedia di sini. Harga²nya tdk mahal. Minusnya, lumayan gerah yaa...pengunjung rame namun tanpa pendingin ruangan",4
Pusat perlengkapan ATK dan rumah. Tempat paling populer untuk berbelanja keperluan sekolah dan perkantoran.,5
Ramai setiap hari...parkir berbayar. Jenis barang untuk keperluan tulis beragam.,5
Rame... Klo mw normal belanja di jam dan hari kerja aja,3
Murah meriah & berkualitas...😉,5
"Tempat belanja ATK terlengkap dan mungkin termurah se Makassar. Semua jenis atk ada. Jual juga barang lainnya seperti frame photo, meja belajar, tas, etc.
Sarannya cuma satu, mungkin pegawainya bisa di beri pakaian seragam atau tanda pengenal, supaya mudah membedakan pegawai dan customer",5
"Banyak pilihan berbelanja alat tulis,.
Mulai dari bolpoint dengan berbagai jenis dan merek dan bisa memilih mata bolpoint mulai dari yang terkecil sampai yang paling besar, buku dengan berbagai jenis, map,.
Selain alat tulis dsini juga menjual kebutuhan lainnya untuk rumah tangga.",5
bagus ce tokox tp rame terus gt y... hahaha...,5
"Semua lengkap. Dari perlengkapan sekolah, sampai mainan juga ada",5
"Toko yg menjual segala kebutuhan anak sekolah. Sangat ramai dikunjungi terutama pada akhir pekan. Tidak ada area parkir yang memadai, sehingga bahu jalan menjadi tempat parkir kendaraan pengunjung di toko ini.",4
"Terutama arah menuju Mall Ratu Indah (Mari), lantaran hampir sebagian ruas jalan digunakan memarkir kendaraan roda empat.
Tak seperti biasanya, puluhan mobil berjejeran terparkir di badan jalan di kawasan tersebut.
Mobil-mobil yang terparkir ini merupakan pengunjung toko penyedia Alat Tulis Kantor (ATK) terbesar di Makassar yakni Toko Agung.

Meski hampir setiap harinya Toko Agung ramai pengunjung, tapi di akhir pekan kedua Juli 2018 ini sangat berbeda.

Jumlahnya jauh lebih banyak yang didominasi oleh orangtua calon murid dan siswa baru Makassar.
Selain berjejernya kendaraan yang menyebabkan macet panjang, di dalam lokasi Toko Agung tak kalah ""macetnya"". Antrian keluar masuk pengunjung begitu padat hingga berdesak-desakan.

Untuk masuk dalam toko saja harus berdesakan, belum lagi di jejeran konter pembayaran atau kasir yang disediakan.",5
"Toko Ini Sangat Lengkap Karena Menyediakan Berbagai Macam Alat Tulis Buku2 Pulpen Dan Berbagai Macam Lainnya Untuk Digunakan Sehari2 Bagi Anak Sekolah.
Toko Agung Ini Juga Merupakan Toko Yang Setiap Hari Sangat Banyak Orang Yang Datang Berbelanja Perlengkapan Untuk Sekolah Dan Merupakan Toko Alat Tulis terlengkap Di Makassar",5
"Barang nya lengkap,, cuma lorong nya agak sempit,, jadi agak kurang leluasa bergerak apa lagi pas ramai",4
"Untuk keperluan anak sekolah, ataupun alat keperluar kantoran boleh dicari atau berbelanja disini.
Parkiran luas, hanya sedikit sembraut, dan terkesan tidak tertata dengan rapi, tapi secara umum mantaplah cukup memudahkan orang untuk berbelanja disini...",4
Sangat banyak pilihan barang dan stoknya pung banyak,5
Jual ATK yang sangat lengkap dengan harga grosir,4
"Luar biasa, begitu lengkap, sampai berdesakan utk ke kasir..",5
"Nah kalo pusat ATK di kota makassar yah di Toko Agung ini...
Produk ATK di agung ini terbilang sangat lengkap.. harga juga di bawah pasaran.. jadi buat teman-teman yang ingin menbeli produk atk saya saranin ke sini aja.. baik itu pemakaian pribadi ataupun untuk di jual kembali di agung itu sangat sangat bagus untuk di jadikan tempat belanja.. cuman yah kurangnya di situ namanya juga toko yang bagus otomatis pengunjung juga ramai kan.. jadi waktu pagi sekitar jam 7 itu waktu paling enak belanjanya.",5
"Tersedia alat tulis dan kantor, serta sejenisnya. Terlengkap di Sulawesi Selatan.",5
Foto copy ukuran lebar libur hari Minggu tanpa pemberitahuan,1
"Alat tulisnya lumayan banyak, harganya lumayan murah, tapi orang banyak banget jadi pergerakan lumayan sempit, 👍",5
"Disini semuanya lengkap, jadi bukan hanya ATK saja tapi juga tas, barang2 unik, peralatan mandi, sisir, dan masih banyak lagiiii  pokoknya lengkap, silahkan berkunjung kesini teman-teman agar kalian bisa tahu apa saja yg ada di toko ini 😊",5
"Enak belanja disini, harga murah banyak pilihan, karyawan ramah2.. disamping tokoh tersedia lahan parkir yg luas.. mushalla dan WC juga ada..",4
"Tokonya lengkap banget pernah belanja dekorasi ultah dan alhamdulillah pegawainya semuanya ramah nggk ada yg jutek.cuman apakah ada juga gunting sasak di situ soalnya udah muter"" nggk nemu jga
Yg tahu mohon infonya yah🙏🙏",5
Tempatnya murah dan lengkap. Mantap. Pengepakan gratis pula,5
"Barang lengkap, harga bersaing, pelayanan ramah",5
